id,text,n_tokens
c_cb6af52d1d53,13 janji akan mencari solusi banjir jakarta dan kemacetan jakarta ketika jadi presiden bahkan statemen di 2014 akan menggunakan cara lain namun faktanya kini banyak barisan pendukung yang menyalahkan anies sandi dengan fakta jakarta masih banjir dan macet ingat janji ini,41
c_3b8ed3a75c86,ingin tenangkan diri di musim banjir ? -memancing -sukat air -bakar ikan -berehat di atas rumah rakit khas musim cuti rm20 seorang ( termasukhomestay ) p/s ikan dibekalkan minimum 8 orang,31
c_00e6b2935e72,intensitas dan curah hujan yang tinggi telah menyebabkan banjir di berbagai daerah di tanah air kala banjir melanda tetap tenang dan tingkatkan kewaspadaan berikut beberapa poin yang dapat dilakukan guna mengurangi risiko banjir,33
c_81855da6169b,ayuh kita bersama menjayakan misi bantuan mangsa banjir di mersing pada 3 jangan ( 9 pagi - 1 petang ) di ibu pejabat saj ranhill larkin,26
c_0874cbf16b25,anak buah bantu set up pusat pemindahan banjir di balairaya tg bungor syabas ! ! !,16
c_f6644ea5ecc9,`` : video kenangan gub dki jaman old menegaskan masalah banjir bukan masalah jakarta itu kewenangan pemerintah pusat dia menegaskan jika terpilih sebagai presiden maka segala persoalan di jakarta dapat mudah teratasi ``,33
c_dd5d722d47dd,laporan awalan bencana jenis kejadian : banjir & air melintas di atas jalan tarikh kejadian : <PHONE> daerah,18
c_76c49e428bfb,anggota rela pekan sedang membantu memberi sajian makanan kepada mangsa2 banjir di pusat pemindahan suka merchong jaya,17
c_fddb83a9b5ee,banjir di jalan pagarsih,4
c_eebfe0c0751e,keadaan banjir di seberang jaya jam 6:45pg tadi,8
c_d22b54df8bc4,anifah lawat mangsa banjir di membakut -,7
c_6a957b0fd1fc,sekarang nih kan musim hujan risau juga kalau air banjir naik lagi-lagi yang suka park kereta di tempat terbuka meminta jauh tapi andaikata ini terjadi kepada kereta anda boleh amalkan tips ini kalau tak amalkan rm 3 0 melayang !,40
c_fe265466345f,anggota rela wanita daerah pekan membantu mengangkat barang-barang keperluan untuk mangsa2 banjir di pusat pemindahan suka merchong jaya merchong,19
c_eedf2d23faab,kondisi terkini banjir luapan kali wulung di terisolir sabar nggih cc :,12
c_bac5509648c7,terdapat perubahan untuk situasi banjir tahun ini terdapat 5 lokasi kawasan berpagar di bahu jalan untuk lembu,17
c_fa36f1c300a8,banjir lahar hujan membawa material piroklastik dari erupsi gunung agung terpantau di sungai di desa dukuh kubu kabupaten karangasem siang ini jangan melakukan aktivitas di sungai tunggu sampai reda setelah itu silakan ambil pasirnya ini adalah berkah dari gunung agung,40
c_4d8dbd93ac3b,saya di pusat pemindahan banjir di suka temai tadi alhamdulillah saya lihat ramai dalam kalangan mangsa meskipun ditimpa musibah tetap bersikap positif dan tabah hadapi dugaan ini kerajaan akan terus bantu,31
c_6d277cdb9139,pekan : perdana menteri datuk seri najib razak melawat mangsa banjir di pusat pemindahan sekolah kebangsaan ( sk ),19
c_293c8f0c46a9,tengah hari ini melawat mangsa banjir yang ditempatkan di dewan kg seri damai bantuan akan terus kerajaan berikan bukan sahaja untuk keadaan semasa banjir tetapi juga untuk pasca banjir kelak,30
c_5a31267f8bb6,8 januari 2018 banjir di kg chegar perah kuala lipis,10
